Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Appended Data
193	34.0	15.0	-6.0	Right Cerebrum	Sub-lobar	Insula	*	*	
194	39.0	4.0	4.0	Right Cerebrum	Sub-lobar	Insula	White Matter	*	
195	40.0	-6.0	14.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	
196	41.0	-11.0	0.0	Right Cerebrum	Sub-lobar	Insula	White Matter	*	
197	8.0	-87.0	11.0	Right Cerebrum	Occipital Lobe	Cuneus	White Matter	*	
198	10.0	-71.0	12.0	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 23	
199	26.0	-58.0	10.0	Right Cerebrum	Sub-lobar	Extra-Nuclear	White Matter	*	
200	6.0	-52.0	-6.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	
201	8.0	-76.0	26.0	Right Cerebrum	Occipital Lobe	Cuneus	*	*	
202	9.0	-76.0	-1.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	
203	20.0	-84.0	-17.0	*	*	*	*	*	
204	23.0	-90.0	-3.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	White Matter	*	
205	25.0	-94.0	9.0	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	White Matter	*	
206	40.0	-84.0	8.0	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	White Matter	*	
207	14.0	-58.0	0.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	White Matter	*	
208	19.0	-77.0	37.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	
209	24.0	-70.0	-3.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	
210	28.0	-80.0	22.0	Right Cerebrum	Occipital Lobe	Cuneus	White Matter	*	
211	43.0	-73.0	27.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 39	
212	43.0	-75.0	-5.0	Right Cerebrum	Occipital Lobe	Inferior Occipital Gyrus	Gray Matter	Brodmann area 19	
213	47.0	-71.0	9.0	Right Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	
214	36.0	-16.0	-25.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	White Matter	*	
215	46.0	0.0	-29.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	
216	46.0	-53.0	-33.0	Right Cerebellum	Posterior Lobe	Cerebellar Tonsil	Gray Matter	*	
217	50.0	-32.0	3.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	
218	55.0	-14.0	-20.0	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	White Matter	*	
219	58.0	-29.0	-12.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	White Matter	*	
220	62.0	-40.0	0.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	*	
221	55.0	-17.0	-3.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	White Matter	*	
222	56.0	0.0	2.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
223	62.0	-29.0	12.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	White Matter	*	
224	6.0	-42.0	19.0	Right Cerebrum	Limbic Lobe	Posterior Cingulate	White Matter	*	
225	6.0	-39.0	37.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	White Matter	*	
226	7.0	-18.0	30.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	White Matter	*	
227	12.0	-55.0	16.0	Right Cerebrum	Limbic Lobe	Posterior Cingulate	White Matter	*	
228	7.0	-6.0	43.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	
229	6.0	-54.0	31.0	Right Cerebrum	Parietal Lobe	Precuneus	White Matter	*	
230	9.0	-28.0	45.0	Right Cerebrum	Frontal Lobe	Paracentral Lobule	White Matter	*	
231	17.0	-63.0	27.0	Right Cerebrum	Occipital Lobe	Precuneus	White Matter	*	
232	6.0	11.0	30.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	
233	7.0	30.0	17.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	White Matter	*	
234	11.0	-43.0	-17.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	
235	15.0	-43.0	3.0	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	White Matter	*	
236	25.0	-49.0	-7.0	Right Cerebrum	Occipital Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 37	
237	28.0	-36.0	-20.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	
238	33.0	-55.0	-22.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	
239	33.0	-69.0	-14.0	Right Cerebrum	Occipital Lobe	Fusiform Gyrus	*	*	
240	40.0	-34.0	-16.0	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	White Matter	*	
241	43.0	-57.0	-9.0	Right Cerebrum	Occipital Lobe	Sub-Gyral	White Matter	*	
242	47.0	-72.0	-24.0	Right Cerebellum	Posterior Lobe	Tuber	Gray Matter	*	
243	54.0	-56.0	0.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	White Matter	*	
244	54.0	-48.0	-14.0	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 20	
